,Top_Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week,Duration,Loudness,Tempo,Tempo_Confidence,Meter,Meter_Confidence,Key,Key_Confidence,Mode,Mode_Confidence,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Valence,Artist_Genres
216,65,Forever & Always (Taylor's Version),Taylor Swift,1,2021-04-23,2021-04-23,225.3283,-4.433,128.03,0.844,4.0,0.757,10.0,0.629,1.0,0.548,0.0231,0.598,0.821,0.0,0.143,0.0447,0.673,['pop']
217,12,Forever After All,Luke Combs,45,2021-01-01,2021-09-10,232.53333,-5.195,151.964,0.109,4.0,0.995,0.0,0.669,1.0,0.686,0.191,0.487,0.65,0.0,0.0933,0.0253,0.456,"['contemporary country', 'country']"
218,79,Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,1,2021-11-26,2021-11-26,263.53333,-5.828,116.012,0.693,4.0,0.986,7.0,0.506,1.0,0.58,0.256,0.611,0.552,0.0,0.134,0.031,0.41,['pop']
219,80,Forgiato,YoungBoy Never Broke Again,1,2021-10-08,2021-10-08,188.75197,-7.053,174.075,0.08,4.0,1.0,6.0,0.373,1.0,0.489,0.115,0.615,0.633,0.0,0.31,0.373,0.509,"['baton rouge rap', 'trap']"
220,26,Fountains,Drake ft. Tems,2,2021-09-17,2021-09-24,192.41772,-8.735,100.053,0.372,4.0,1.0,10.0,0.542,0.0,0.517,0.181,0.843,0.485,0.0675,0.107,0.195,0.689,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
221,52,Fractions,Nicki Minaj,1,2021-05-28,2021-05-28,181.69048,-6.362,131.892,0.752,4.0,1.0,0.0,0.831,1.0,0.662,0.011,0.924,0.523,0.0,0.17,0.132,0.144,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']"
222,80,Free Promo,Moneybagg Yo ft. Polo G & Lil Durk,1,2021-05-07,2021-05-07,179.39828,-6.874,155.116,0.321,4.0,1.0,1.0,0.713,1.0,0.604,0.0236,0.774,0.627,0.0,0.181,0.246,0.437,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
223,76,Freedom Was A Highway,Jimmie Allen & Brad Paisley,11,2021-10-22,2021-12-31,212.72,-4.493,96.06,0.299,4.0,0.994,1.0,0.963,1.0,0.679,0.0891,0.563,0.847,0.0,0.121,0.0468,0.666,"['black americana', 'contemporary country', 'country', 'country road']"
224,86,From My Window,Juice WRLD,1,2021-12-24,2021-12-24,187.21161,-6.674,76.982,0.22,4.0,1.0,4.0,0.355,0.0,0.405,0.129,0.702,0.514,0.0,0.104,0.0432,0.133,"['chicago rap', 'melodic rap']"
225,99,From The Garden,Isaiah Rashad ft. Lil Uzi Vert,1,2021-08-13,2021-08-13,189.30667,-6.195,142.04,0.725,4.0,1.0,6.0,0.101,0.0,0.411,0.000697,0.866,0.64,0.000114,0.702,0.413,0.636,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']"
226,32,Fucking Fans,Drake,1,2021-09-17,2021-09-17,,,,,,,,,,,,,,,,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
227,55,GNF (OKOKOK),Polo G,1,2021-02-19,2021-02-19,116.25601,-9.491,145.88,0.093,4.0,1.0,3.0,0.264,0.0,0.294,0.617,0.783,0.662,0.0,0.101,0.409,0.458,['chicago rap']
228,33,Gang Gang,Polo G & Lil Wayne,5,2021-06-04,2021-07-02,192.05225,-10.617,85.064,0.009,4.0,1.0,1.0,0.717,1.0,0.462,0.0152,0.818,0.331,0.0,0.119,0.111,0.326,['chicago rap']
229,27,Get Along Better,Drake ft. Ty Dolla $ign,2,2021-09-17,2021-09-24,229.30354,-6.77,177.693,0.119,3.0,1.0,8.0,0.505,1.0,0.586,0.00645,0.32,0.466,0.0,0.133,0.0374,0.338,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
230,68,Get Into It (Yuh),Doja Cat,13,2021-07-09,2021-11-12,138.29333,-6.029,91.942,0.607,4.0,1.0,8.0,0.74,0.0,0.574,0.315,0.912,0.655,3.39e-05,0.0894,0.162,0.793,"['dance pop', 'pop']"
231,91,Get Ready,Rod Wave ft. Kodak Black,1,2021-09-03,2021-09-03,231.77142,-5.586,85.801,0.264,4.0,0.923,0.0,0.777,1.0,0.639,0.0921,0.425,0.672,0.0,0.0903,0.245,0.15,['florida rap']
232,69,Getting Older,Billie Eilish,1,2021-08-13,2021-08-13,244.22145,-17.261,159.679,0.112,4.0,1.0,10.0,0.57,1.0,0.554,0.974,0.599,0.128,0.121,0.115,0.109,0.367,"['art pop', 'electropop', 'pop']"
233,32,Ghost,Justin Bieber,13,2021-04-02,2021-12-31,153.19011,-5.569,153.96,0.554,4.0,1.0,2.0,0.547,1.0,0.58,0.185,0.601,0.741,2.91e-05,0.415,0.0478,0.441,"['canadian pop', 'pop']"
234,100,Ghost Town,Benson Boone,1,2021-11-12,2021-11-12,193.73334,-10.064,174.185,0.082,3.0,1.0,0.0,0.38,1.0,0.621,0.389,0.391,0.335,0.0,0.102,0.0763,0.116,['pop']
235,40,Ghostbusters,Ray Parker Jr.,22,2021-11-12,2021-11-12,239.13333,-9.698,115.4,0.809,4.0,1.0,4.0,0.167,1.0,0.351,0.0123,0.778,0.719,0.0262,0.297,0.0345,0.729,['disco']
236,67,Girl Like Me,Black Eyed Peas X Shakira,13,2021-01-15,2021-04-16,222.52267,-8.784,124.025,0.909,4.0,1.0,2.0,0.177,1.0,0.147,0.0206,0.965,0.485,0.0237,0.0655,0.191,0.312,"['dance pop', 'pop', 'pop rap']"
237,97,Girl Like Me,Jazmine Sullivan ft. H.E.R.,1,2021-01-22,2021-01-22,224.88,-4.007,81.145,0.252,4.0,0.862,6.0,0.348,0.0,0.505,0.66,0.5,0.638,0.0,0.366,0.0756,0.698,"['alternative r&b', 'dance pop', 'hip pop', 'neo soul', 'pop', 'pop r&b', 'r&b', 'rap', 'urban contemporary']"
238,29,Girl Of My Dreams,Juice WRLD & SUGA,1,2021-12-24,2021-12-24,226.14934,-6.336,139.988,0.637,4.0,1.0,9.0,0.524,1.0,0.52,0.194,0.603,0.771,0.0,0.13,0.0627,0.332,"['chicago rap', 'melodic rap']"
239,2,Girls Want Girls,Drake ft. Lil Baby,16,2021-09-17,2021-12-31,221.97964,-8.726,86.975,0.158,4.0,0.997,7.0,0.487,0.0,0.557,0.181,0.767,0.438,0.0,0.142,0.29,0.381,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
240,21,Glad You Exist,Dan + Shay,29,2021-02-19,2021-09-03,144.53333,-6.12,103.953,0.299,4.0,1.0,11.0,0.712,1.0,0.678,0.235,0.748,0.551,0.0,0.119,0.0349,0.66,"['canadian contemporary r&b', 'pop', 'r&b']"
241,60,Gnat,Eminem,1,2021-01-01,2021-01-01,224.656,-4.582,140.945,0.223,4.0,0.891,10.0,0.224,0.0,0.371,0.248,0.835,0.869,0.0,0.462,0.27,0.82,"['detroit hip hop', 'hip hop', 'rap']"
242,3,Go Crazy,Chris Brown & Young Thug,52,2021-01-01,2021-05-14,176.96,-8.932,94.148,0.421,4.0,1.0,0.0,0.541,0.0,0.45,0.316,0.755,0.578,0.0,0.25,0.145,0.581,"['dance pop', 'pop', 'r&b']"
243,76,Go Hard,Juice WRLD,1,2021-12-24,2021-12-24,214.72752,-7.666,145.289,0.097,4.0,1.0,7.0,0.738,0.0,0.644,0.611,0.616,0.463,4.65e-06,0.163,0.18,0.0682,"['chicago rap', 'melodic rap']"
244,86,Go Part 1,Polo G ft. G Herbo,1,2021-06-25,2021-06-25,161.62721,-9.768,171.784,0.214,4.0,0.993,1.0,1.0,1.0,0.835,0.0135,0.664,0.375,0.0,0.117,0.387,0.145,['chicago rap']
245,52,Go!,Moneybagg Yo ft. BIG30,4,2021-04-30,2021-05-21,123.58395,-6.279,174.993,0.767,4.0,1.0,1.0,0.898,1.0,0.496,0.00346,0.83,0.63,0.0,0.192,0.26,0.556,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
246,82,Go2DaMoon,Playboi Carti ft. Kanye West,1,2021-01-08,2021-01-08,119.73778,-8.786,147.066,0.141,4.0,1.0,4.0,0.0,0.0,0.106,0.204,0.693,0.434,0.0,0.277,0.385,0.542,"['atl hip hop', 'hip hop', 'plugg', 'pluggnb', 'rap']"
247,30,God Breathed,Kanye West,1,2021-09-10,2021-09-10,333.4615,-7.481,92.744,0.047,3.0,0.931,10.0,0.165,1.0,0.16,0.289,0.325,0.311,6.74e-05,0.11,0.0442,0.0789,"['chicago rap', 'rap']"
248,73,God's Country,State Of Mine & Drew Jacobs,1,2021-12-03,2021-12-03,210.85715,-3.594,139.951,0.554,4.0,0.986,5.0,0.448,0.0,0.469,0.0033,0.418,0.888,0.0,0.0957,0.0481,0.23,['gymcore']
249,57,Golden,Harry Styles,20,2021-01-01,2021-03-19,208.90668,-5.257,139.863,0.812,4.0,0.831,4.0,0.606,0.0,0.509,0.21,0.448,0.838,0.000131,0.131,0.0557,0.254,['pop']
250,26,Gone,Dierks Bentley,20,2021-03-12,2021-08-06,205.96,-6.173,149.977,0.099,4.0,0.964,6.0,0.517,1.0,0.591,0.00985,0.521,0.746,0.0,0.0741,0.0351,0.473,"['contemporary country', 'country', 'country road']"
251,61,Gone Till November,Rod Wave,1,2021-04-09,2021-04-09,161.01878,-8.378,82.902,0.002,4.0,0.808,11.0,0.367,0.0,0.513,0.248,0.478,0.537,0.0,0.271,0.111,0.384,['florida rap']
252,1,Good 4 U,Olivia Rodrigo,32,2021-05-28,2021-12-31,178.14667,-5.044,166.928,0.206,4.0,0.994,9.0,0.108,1.0,0.317,0.335,0.563,0.664,0.0,0.0849,0.154,0.688,['pop']
253,9,Good Days,SZA,20,2021-01-08,2021-05-21,279.20398,-8.37,121.002,0.326,4.0,1.0,1.0,0.456,0.0,0.533,0.499,0.436,0.655,8.1e-06,0.688,0.0583,0.412,"['pop', 'r&b', 'rap']"
254,20,Good Time,Niko Moon,25,2021-01-01,2021-04-02,214.72,-7.189,138.084,0.859,4.0,1.0,5.0,0.577,1.0,0.412,0.0874,0.802,0.59,0.0,0.275,0.0493,0.687,['contemporary country']
255,47,Goosebumps,Travis Scott & HVME,20,2021-01-29,2021-06-11,243.83691,-3.37,130.049,0.687,4.0,0.931,7.0,0.064,1.0,0.294,0.0847,0.841,0.728,0.0,0.149,0.0484,0.43,"['rap', 'slap house']"
256,71,Gravity,"Brent Faiyaz & DJ Dahi ft. Tyler, The Creator",1,2021-02-12,2021-02-12,214.69273,-8.746,163.908,0.128,4.0,0.944,1.0,0.514,0.0,0.559,0.167,0.541,0.619,0.00633,0.144,0.254,0.491,"['dmv rap', 'hip hop', 'pop', 'r&b', 'rap']"
257,38,Gyalis,Capella Grey,19,2021-08-13,2021-12-17,105.37701,-7.01,96.375,0.195,4.0,1.0,8.0,0.304,1.0,0.501,0.386,0.666,0.643,0.0,0.283,0.423,0.756,['pop rap']
258,87,Half Of My Hometown,Kelsea Ballerini ft. Kenny Chesney,6,2021-11-05,2021-12-17,231.8321,-4.966,138.034,0.233,4.0,0.857,10.0,0.574,1.0,0.692,0.153,0.57,0.618,0.0,0.159,0.0445,0.286,"['contemporary country', 'country', 'pop']"
259,54,Hallelujah,Carrie Underwood & John Legend,3,2021-01-01,2021-01-01,275.09927,-5.364,78.259,0.023,5.0,0.315,5.0,0.626,1.0,0.677,0.846,0.335,0.43,0.0,0.126,0.0322,0.379,"['contemporary country', 'country', 'country dawn', 'oklahoma country', 'pop']"
